Ran;Action;Drama;War;162;79
Raging Bull;Biography;Drama;Sport;129;73
Stalker;Drama;Sci-Fi;;162;82
Höstsonaten;Drama;Music;;99;82
Taxi Driver;Crime;Drama;;114;77
The Message;Biography;Drama;History;177;82
Sholay;Action;Adventure;Comedy;204;82
Monty Python and the Holy Grail;Adventure;Comedy;Fantasy;91;75
Per qualche dollaro in pi?;Western;;;132;61
The Great Escape;Adventure;Drama;History;172;71
To Kill a Mockingbird;Crime;Drama;;129;72
Yojinbo;Action;Drama;Thriller;110;82
Judgment at Nuremberg;Drama;War;;179;82
Some Like It Hot;Comedy;Music;Romance;121;80
Smultronstället;Drama;Romance;;91;72
Det sjunde inseglet;Drama;Fantasy;History;96;72
Dial M for Murder;Crime;Thriller;;105;62
Tôkyô monogatari;Drama;;;136;82
Rashomon;Crime;Drama;Mystery;88;80
All About Eve;Drama;;;138;80
The Treasure of the Sierra Madre;Adventure;Drama;Western;126;80
To Be or Not to Be;Comedy;War;;99;71
The Gold Rush;Adventure;Comedy;Drama;95;82
Sherlock Jr,;Action;Comedy;Romance;45;82
Portrait de la jeune fille en feu;Drama;Romance;;122;77
Pink;Drama;Thriller;;136;81
Koe no katachi;Animation;Drama;Family;130;63
Three Billboards Outside Ebbing, Missouri;Comedy;Crime;Drama;115;71
Contratiempo;Crime;Drama;Mystery;106;81
Ah-ga-ssi;Drama;Romance;Thriller;145;68
Mommy;Drama;;;139;60
Haider;Action;Crime;Drama;160;81
Logan;Action;Drama;Sci-Fi;137;62
Room;Drama;Thriller;;118;70
Relatos salvajes;Comedy;Drama;Thriller;122;62
Soul;Animation;Adventure;Comedy;100;67
Kis Uykusu;Drama;;;196;71
PK;Comedy;Drama;Musical;153;81
OMG: Oh My God!;Comedy;Drama;Fantasy;125;81
The Grand Budapest Hotel;Adventure;Comedy;Crime;99;71
Gone Girl;Drama;Mystery;Thriller;149;64
Ôkami kodomo no Ame to Yuki;Animation;Drama;Fantasy;117;58
Hacksaw Ridge;Biography;Drama;History;139;58
Inside Out;Animation;Adventure;Comedy;95;76
Barfi!;Comedy;Drama;Romance;151;81
12 Years a Slave;Biography;Drama;History;134;78
Rush;Action;Biography;Drama;123;60
Ford v Ferrari;Action;Biography;Drama;152;66
Spotlight;Biography;Crime;Drama;129;75
Song of the Sea;Animation;Adventure;Drama;93;69
Kahaani;Mystery;Thriller;;122;81
Prisoners;Crime;Drama;Mystery;153;57
Mad Max: Fury Road;Action;Adventure;Sci-Fi;120;73
A Wednesday;Action;Crime;Drama;104;81
Zack Snyder's Justice League;Action;Adventure;Fantasy;242;81
Gran Torino;Drama;;;116;58
Harry Potter and the Deathly Hallows: Part 2;Adventure;Drama;Fantasy;130;69
Okuribito;Drama;Music;;130;55
Hachi: A Dog's Tale;Biography;Drama;Family;93;81
Mary and Max;Animation;Comedy;Drama;92;81
How to Train Your Dragon;Animation;Action;Adventure;98;61
Into the Wild;Adventure;Biography;Drama;148;59
